User id	Error id	Message	Type	Line Number	Creation Time	Path	IP
UO217345	570425421	The value of the field Lexico.zzPushbackPos is not used	WARNING	268	2014-03-04-08:55:58	C:/Users/UO217345/Desktop/WorkSpace DLP/DLP/src/lexico/Lexico.java	C:/Users/UO217345/Desktop/WorkSpace DLP/DLP	192.168.61.20
UO217345	570425421	The value of the field Lexico.yychar is not used	WARNING	284	2014-03-04-08:55:58	C:/Users/UO217345/Desktop/WorkSpace DLP/DLP/src/lexico/Lexico.java	C:/Users/UO217345/Desktop/WorkSpace DLP/DLP	192.168.61.20
UO217345	570425421	The value of the field Lexico.zzAtBOL is not used	WARNING	295	2014-03-04-08:55:58	C:/Users/UO217345/Desktop/WorkSpace DLP/DLP/src/lexico/Lexico.java	C:/Users/UO217345/Desktop/WorkSpace DLP/DLP	192.168.61.20
UO217345	134217868	Implicit super constructor AbstractAst() is undefined for default constructor. Must define an explicit constructor	ERROR	5	2014-03-04-09:21:44	C:/Users/UO217345/Desktop/WorkSpace DLP/DLP/src/tipos/TipoError.java	C:/Users/UO217345/Desktop/WorkSpace DLP/DLP	192.168.61.20
UO217345	134217863	Cannot refer to an instance field linea while explicitly invoking a constructor	ERROR	8	2014-03-04-09:22:08	C:/Users/UO217345/Desktop/WorkSpace DLP/DLP/src/tipos/TipoError.java	C:/Users/UO217345/Desktop/WorkSpace DLP/DLP	192.168.61.20
UO217345	134217863	Cannot refer to an instance field columna while explicitly invoking a constructor	ERROR	8	2014-03-04-09:22:08	C:/Users/UO217345/Desktop/WorkSpace DLP/DLP/src/tipos/TipoError.java	C:/Users/UO217345/Desktop/WorkSpace DLP/DLP	192.168.61.20
UO217345	570425421	The value of the field ME.errores is not used	WARNING	9	2014-03-04-09:25:14	C:/Users/UO217345/Desktop/WorkSpace DLP/DLP/src/controlDeErrores/ME.java	C:/Users/UO217345/Desktop/WorkSpace DLP/DLP	192.168.61.20
UO217345	570425421	The value of the field ME.intance is not used	WARNING	12	2014-03-04-09:26:44	C:/Users/UO217345/Desktop/WorkSpace DLP/DLP/src/controlDeErrores/ME.java	C:/Users/UO217345/Desktop/WorkSpace DLP/DLP	192.168.61.20
UO217345	33554515	instance cannot be resolved to a variable	ERROR	19	2014-03-04-09:26:44	C:/Users/UO217345/Desktop/WorkSpace DLP/DLP/src/controlDeErrores/ME.java	C:/Users/UO217345/Desktop/WorkSpace DLP/DLP	192.168.61.20
UO217345	33554515	instance cannot be resolved to a variable	ERROR	20	2014-03-04-09:26:44	C:/Users/UO217345/Desktop/WorkSpace DLP/DLP/src/controlDeErrores/ME.java	C:/Users/UO217345/Desktop/WorkSpace DLP/DLP	192.168.61.20
UO217345	33554515	linea cannot be resolved to a variable	ERROR	20	2014-03-04-09:26:44	C:/Users/UO217345/Desktop/WorkSpace DLP/DLP/src/controlDeErrores/ME.java	C:/Users/UO217345/Desktop/WorkSpace DLP/DLP	192.168.61.20
UO217345	33554515	columna cannot be resolved to a variable	ERROR	20	2014-03-04-09:26:44	C:/Users/UO217345/Desktop/WorkSpace DLP/DLP/src/controlDeErrores/ME.java	C:/Users/UO217345/Desktop/WorkSpace DLP/DLP	192.168.61.20
UO217345	33554515	instance cannot be resolved to a variable	ERROR	22	2014-03-04-09:26:44	C:/Users/UO217345/Desktop/WorkSpace DLP/DLP/src/controlDeErrores/ME.java	C:/Users/UO217345/Desktop/WorkSpace DLP/DLP	192.168.61.20
UO217345	570425421	The value of the field ME.instance is not used	WARNING	12	2014-03-04-09:27:47	C:/Users/UO217345/Desktop/WorkSpace DLP/DLP/src/controlDeErrores/ME.java	C:/Users/UO217345/Desktop/WorkSpace DLP/DLP	192.168.61.20
UO217345	33554506	Cannot make a static reference to the non-static field instance	ERROR	19	2014-03-04-09:27:47	C:/Users/UO217345/Desktop/WorkSpace DLP/DLP/src/controlDeErrores/ME.java	C:/Users/UO217345/Desktop/WorkSpace DLP/DLP	192.168.61.20
UO217345	33554506	Cannot make a static reference to the non-static field instance	ERROR	20	2014-03-04-09:27:47	C:/Users/UO217345/Desktop/WorkSpace DLP/DLP/src/controlDeErrores/ME.java	C:/Users/UO217345/Desktop/WorkSpace DLP/DLP	192.168.61.20
UO217345	33554506	Cannot make a static reference to the non-static field instance	ERROR	22	2014-03-04-09:27:47	C:/Users/UO217345/Desktop/WorkSpace DLP/DLP/src/controlDeErrores/ME.java	C:/Users/UO217345/Desktop/WorkSpace DLP/DLP	192.168.61.20
UO217345	268435844	The import tipos.TipoDouble is never used	WARNING	5	2014-03-04-09:28:21	C:/Users/UO217345/Desktop/WorkSpace DLP/DLP/src/controlDeErrores/ME.java	C:/Users/UO217345/Desktop/WorkSpace DLP/DLP	192.168.61.20
